swanlab: Tracking run with swanlab version 0.5.5
swanlab: Run data will be saved locally in /home/moe_test/swanlog/run-20250409_214613-84cd768b
swanlab: 🌟 Run `swanlab watch /home/moe_test/swanlog` to view SwanLab Experiment Dashboard locally

--- Epoch 1/50 ---
Batch 5/2797, Loss: 2.4508, Train Acc: 44.69%
Batch 10/2797, Loss: 1.6747, Train Acc: 54.92%
Batch 15/2797, Loss: 1.3497, Train Acc: 62.76%
Batch 20/2797, Loss: 1.1916, Train Acc: 65.59%
Batch 25/2797, Loss: 1.0838, Train Acc: 67.62%
Batch 30/2797, Loss: 1.0077, Train Acc: 69.48%
Batch 35/2797, Loss: 0.9649, Train Acc: 70.40%
Batch 40/2797, Loss: 0.9191, Train Acc: 71.43%
Batch 45/2797, Loss: 0.8729, Train Acc: 72.53%
Batch 50/2797, Loss: 0.8415, Train Acc: 73.28%
Batch 55/2797, Loss: 0.8151, Train Acc: 73.89%
Batch 60/2797, Loss: 0.7944, Train Acc: 74.32%
Batch 65/2797, Loss: 0.7711, Train Acc: 74.93%
Batch 70/2797, Loss: 0.7575, Train Acc: 75.44%
Batch 75/2797, Loss: 0.7428, Train Acc: 75.69%
Batch 80/2797, Loss: 0.7282, Train Acc: 76.06%
Batch 85/2797, Loss: 0.7171, Train Acc: 76.41%
Batch 90/2797, Loss: 0.7037, Train Acc: 76.67%
Batch 95/2797, Loss: 0.6984, Train Acc: 76.69%
Batch 100/2797, Loss: 0.6934, Train Acc: 76.81%
Batch 105/2797, Loss: 0.6922, Train Acc: 76.78%
Batch 110/2797, Loss: 0.6910, Train Acc: 76.69%
Batch 115/2797, Loss: 0.6871, Train Acc: 76.72%
Batch 120/2797, Loss: 0.6839, Train Acc: 76.78%
Batch 125/2797, Loss: 0.6801, Train Acc: 76.80%
Batch 130/2797, Loss: 0.6778, Train Acc: 76.86%
Batch 135/2797, Loss: 0.6786, Train Acc: 76.72%
Batch 140/2797, Loss: 0.6757, Train Acc: 76.74%
Batch 145/2797, Loss: 0.6768, Train Acc: 76.62%
Batch 150/2797, Loss: 0.6780, Train Acc: 76.54%
Batch 155/2797, Loss: 0.6779, Train Acc: 76.48%
Batch 160/2797, Loss: 0.6765, Train Acc: 76.53%
Batch 165/2797, Loss: 0.6761, Train Acc: 76.51%
Batch 170/2797, Loss: 0.6735, Train Acc: 76.55%
Batch 175/2797, Loss: 0.6695, Train Acc: 76.67%
Batch 180/2797, Loss: 0.6664, Train Acc: 76.76%
Batch 185/2797, Loss: 0.6632, Train Acc: 76.90%
Batch 190/2797, Loss: 0.6635, Train Acc: 76.85%
Batch 195/2797, Loss: 0.6600, Train Acc: 76.98%
Batch 200/2797, Loss: 0.6609, Train Acc: 77.01%
Batch 205/2797, Loss: 0.6588, Train Acc: 77.06%
Batch 210/2797, Loss: 0.6566, Train Acc: 77.16%
Batch 215/2797, Loss: 0.6561, Train Acc: 77.13%
Batch 220/2797, Loss: 0.6520, Train Acc: 77.29%
Batch 225/2797, Loss: 0.6505, Train Acc: 77.34%
Batch 230/2797, Loss: 0.6479, Train Acc: 77.40%
Batch 235/2797, Loss: 0.6454, Train Acc: 77.46%
Batch 240/2797, Loss: 0.6428, Train Acc: 77.53%
Batch 245/2797, Loss: 0.6412, Train Acc: 77.54%
Batch 250/2797, Loss: 0.6395, Train Acc: 77.60%
Batch 255/2797, Loss: 0.6386, Train Acc: 77.61%
Batch 260/2797, Loss: 0.6366, Train Acc: 77.63%
Batch 265/2797, Loss: 0.6351, Train Acc: 77.66%
Batch 270/2797, Loss: 0.6337, Train Acc: 77.65%
Batch 275/2797, Loss: 0.6312, Train Acc: 77.70%
Batch 280/2797, Loss: 0.6302, Train Acc: 77.75%
Batch 285/2797, Loss: 0.6286, Train Acc: 77.80%
Batch 290/2797, Loss: 0.6258, Train Acc: 77.88%
Batch 295/2797, Loss: 0.6235, Train Acc: 77.93%
Batch 300/2797, Loss: 0.6206, Train Acc: 78.02%
Batch 305/2797, Loss: 0.6181, Train Acc: 78.09%
Batch 310/2797, Loss: 0.6162, Train Acc: 78.18%
Batch 315/2797, Loss: 0.6144, Train Acc: 78.23%
Batch 320/2797, Loss: 0.6128, Train Acc: 78.28%
Batch 325/2797, Loss: 0.6212, Train Acc: 78.27%
Batch 330/2797, Loss: 0.6205, Train Acc: 78.25%
Batch 335/2797, Loss: 0.6185, Train Acc: 78.33%
Batch 340/2797, Loss: 0.6173, Train Acc: 78.37%
Batch 345/2797, Loss: 0.6158, Train Acc: 78.43%
Batch 350/2797, Loss: 0.6143, Train Acc: 78.49%
Batch 355/2797, Loss: 0.6125, Train Acc: 78.54%
Batch 360/2797, Loss: 0.6105, Train Acc: 78.62%
Batch 365/2797, Loss: 0.6081, Train Acc: 78.69%
Batch 370/2797, Loss: 0.6056, Train Acc: 78.78%
Batch 375/2797, Loss: 0.6037, Train Acc: 78.85%
Batch 380/2797, Loss: 0.6026, Train Acc: 78.87%
Batch 385/2797, Loss: 0.6014, Train Acc: 78.91%
Batch 390/2797, Loss: 0.5993, Train Acc: 78.97%
Batch 395/2797, Loss: 0.5979, Train Acc: 79.01%
Batch 400/2797, Loss: 0.5967, Train Acc: 79.03%
Batch 405/2797, Loss: 0.5949, Train Acc: 79.09%
Batch 410/2797, Loss: 0.5934, Train Acc: 79.12%
Batch 415/2797, Loss: 0.5920, Train Acc: 79.16%
Batch 420/2797, Loss: 0.5904, Train Acc: 79.22%
Batch 425/2797, Loss: 0.5889, Train Acc: 79.27%
Batch 430/2797, Loss: 0.5874, Train Acc: 79.33%
Batch 435/2797, Loss: 0.5865, Train Acc: 79.36%
Batch 440/2797, Loss: 0.5855, Train Acc: 79.39%
Batch 445/2797, Loss: 0.5841, Train Acc: 79.43%
Batch 450/2797, Loss: 0.5835, Train Acc: 79.43%
Batch 455/2797, Loss: 0.5819, Train Acc: 79.48%
Batch 460/2797, Loss: 0.5808, Train Acc: 79.52%
Batch 465/2797, Loss: 0.5799, Train Acc: 79.55%
Batch 470/2797, Loss: 0.5783, Train Acc: 79.58%
Batch 475/2797, Loss: 0.5774, Train Acc: 79.61%
Batch 480/2797, Loss: 0.5763, Train Acc: 79.63%
Batch 485/2797, Loss: 0.5755, Train Acc: 79.66%
Batch 490/2797, Loss: 0.5742, Train Acc: 79.70%
Batch 495/2797, Loss: 0.5725, Train Acc: 79.77%
Batch 500/2797, Loss: 0.5707, Train Acc: 79.82%
Batch 505/2797, Loss: 0.5694, Train Acc: 79.86%
Batch 510/2797, Loss: 0.5683, Train Acc: 79.89%
Batch 515/2797, Loss: 0.5673, Train Acc: 79.91%
Batch 520/2797, Loss: 0.5658, Train Acc: 79.96%
Batch 525/2797, Loss: 0.5653, Train Acc: 79.97%
Batch 530/2797, Loss: 0.5645, Train Acc: 79.98%
Batch 535/2797, Loss: 0.5635, Train Acc: 80.01%
Batch 540/2797, Loss: 0.5625, Train Acc: 80.04%
Batch 545/2797, Loss: 0.5612, Train Acc: 80.08%
Batch 550/2797, Loss: 0.5604, Train Acc: 80.10%
Batch 555/2797, Loss: 0.5594, Train Acc: 80.13%
Batch 560/2797, Loss: 0.5588, Train Acc: 80.15%
Batch 565/2797, Loss: 0.5576, Train Acc: 80.18%
Batch 570/2797, Loss: 0.5569, Train Acc: 80.20%
Batch 575/2797, Loss: 0.5564, Train Acc: 80.22%
Batch 580/2797, Loss: 0.5557, Train Acc: 80.23%
Batch 585/2797, Loss: 0.5548, Train Acc: 80.25%
Batch 590/2797, Loss: 0.5537, Train Acc: 80.28%
Batch 595/2797, Loss: 0.5532, Train Acc: 80.30%
Batch 600/2797, Loss: 0.5520, Train Acc: 80.34%
Batch 605/2797, Loss: 0.5511, Train Acc: 80.37%
Batch 610/2797, Loss: 0.5501, Train Acc: 80.40%
Batch 615/2797, Loss: 0.5491, Train Acc: 80.43%
