Batch 1430/2797, Loss: 0.2671, Train Acc: 90.08%
Batch 1435/2797, Loss: 0.2669, Train Acc: 90.09%
Batch 1440/2797, Loss: 0.2670, Train Acc: 90.09%
Batch 1445/2797, Loss: 0.2669, Train Acc: 90.09%
Batch 1450/2797, Loss: 0.2670, Train Acc: 90.09%
Batch 1455/2797, Loss: 0.2669, Train Acc: 90.09%
Batch 1460/2797, Loss: 0.2669, Train Acc: 90.09%
Batch 1465/2797, Loss: 0.2668, Train Acc: 90.09%
Batch 1470/2797, Loss: 0.2669, Train Acc: 90.09%
Batch 1475/2797, Loss: 0.2668, Train Acc: 90.09%
Batch 1480/2797, Loss: 0.2668, Train Acc: 90.09%
Batch 1485/2797, Loss: 0.2668, Train Acc: 90.09%
Batch 1490/2797, Loss: 0.2668, Train Acc: 90.09%
Batch 1495/2797, Loss: 0.2668, Train Acc: 90.09%
Batch 1500/2797, Loss: 0.2667, Train Acc: 90.09%
Batch 1505/2797, Loss: 0.2668, Train Acc: 90.09%
Batch 1510/2797, Loss: 0.2668, Train Acc: 90.09%
Batch 1515/2797, Loss: 0.2669, Train Acc: 90.08%
Batch 1520/2797, Loss: 0.2668, Train Acc: 90.09%
Batch 1525/2797, Loss: 0.2667, Train Acc: 90.09%
Batch 1530/2797, Loss: 0.2668, Train Acc: 90.09%
Batch 1535/2797, Loss: 0.2668, Train Acc: 90.08%
Batch 1540/2797, Loss: 0.2668, Train Acc: 90.08%
Batch 1545/2797, Loss: 0.2668, Train Acc: 90.08%
Batch 1550/2797, Loss: 0.2668, Train Acc: 90.08%
Batch 1555/2797, Loss: 0.2667, Train Acc: 90.08%
Batch 1560/2797, Loss: 0.2666, Train Acc: 90.09%
Batch 1565/2797, Loss: 0.2666, Train Acc: 90.08%
Batch 1570/2797, Loss: 0.2665, Train Acc: 90.08%
Batch 1575/2797, Loss: 0.2665, Train Acc: 90.08%
Batch 1580/2797, Loss: 0.2665, Train Acc: 90.08%
Batch 1585/2797, Loss: 0.2665, Train Acc: 90.08%
Batch 1590/2797, Loss: 0.2664, Train Acc: 90.08%
Batch 1595/2797, Loss: 0.2665, Train Acc: 90.08%
Batch 1600/2797, Loss: 0.2665, Train Acc: 90.08%
Batch 1605/2797, Loss: 0.2666, Train Acc: 90.07%
Batch 1610/2797, Loss: 0.2666, Train Acc: 90.07%
Batch 1615/2797, Loss: 0.2666, Train Acc: 90.08%
Batch 1620/2797, Loss: 0.2665, Train Acc: 90.08%
Batch 1625/2797, Loss: 0.2664, Train Acc: 90.08%
Batch 1630/2797, Loss: 0.2663, Train Acc: 90.09%
Batch 1635/2797, Loss: 0.2663, Train Acc: 90.09%
Batch 1640/2797, Loss: 0.2663, Train Acc: 90.09%
Batch 1645/2797, Loss: 0.2663, Train Acc: 90.09%
Batch 1650/2797, Loss: 0.2662, Train Acc: 90.09%
Batch 1655/2797, Loss: 0.2662, Train Acc: 90.09%
Batch 1660/2797, Loss: 0.2662, Train Acc: 90.09%
Batch 1665/2797, Loss: 0.2662, Train Acc: 90.09%
Batch 1670/2797, Loss: 0.2661, Train Acc: 90.10%
Batch 1675/2797, Loss: 0.2660, Train Acc: 90.10%
Batch 1680/2797, Loss: 0.2660, Train Acc: 90.10%
Batch 1685/2797, Loss: 0.2661, Train Acc: 90.09%
Batch 1690/2797, Loss: 0.2662, Train Acc: 90.09%
Batch 1695/2797, Loss: 0.2661, Train Acc: 90.09%
Batch 1700/2797, Loss: 0.2661, Train Acc: 90.09%
Batch 1705/2797, Loss: 0.2662, Train Acc: 90.09%
Batch 1710/2797, Loss: 0.2661, Train Acc: 90.09%
Batch 1715/2797, Loss: 0.2662, Train Acc: 90.08%
Batch 1720/2797, Loss: 0.2662, Train Acc: 90.09%
Batch 1725/2797, Loss: 0.2662, Train Acc: 90.08%
Batch 1730/2797, Loss: 0.2662, Train Acc: 90.08%
Batch 1735/2797, Loss: 0.2661, Train Acc: 90.08%
Batch 1740/2797, Loss: 0.2661, Train Acc: 90.08%
Batch 1745/2797, Loss: 0.2661, Train Acc: 90.08%
Batch 1750/2797, Loss: 0.2661, Train Acc: 90.08%
Batch 1755/2797, Loss: 0.2662, Train Acc: 90.08%
Batch 1760/2797, Loss: 0.2661, Train Acc: 90.08%
Batch 1765/2797, Loss: 0.2662, Train Acc: 90.08%
Batch 1770/2797, Loss: 0.2661, Train Acc: 90.08%
Batch 1775/2797, Loss: 0.2660, Train Acc: 90.08%
Batch 1780/2797, Loss: 0.2658, Train Acc: 90.09%
Batch 1785/2797, Loss: 0.2659, Train Acc: 90.09%
Batch 1790/2797, Loss: 0.2659, Train Acc: 90.10%
Batch 1795/2797, Loss: 0.2658, Train Acc: 90.10%
Batch 1800/2797, Loss: 0.2659, Train Acc: 90.10%
Batch 1805/2797, Loss: 0.2659, Train Acc: 90.09%
Batch 1810/2797, Loss: 0.2659, Train Acc: 90.10%
Batch 1815/2797, Loss: 0.2658, Train Acc: 90.10%
Batch 1820/2797, Loss: 0.2659, Train Acc: 90.10%
Batch 1825/2797, Loss: 0.2659, Train Acc: 90.10%
