Validation Batch 515/700, Validation Accuracy: 92.35%
Validation Batch 520/700, Validation Accuracy: 92.36%
Validation Batch 525/700, Validation Accuracy: 92.34%
Validation Batch 530/700, Validation Accuracy: 92.35%
Validation Batch 535/700, Validation Accuracy: 92.33%
Validation Batch 540/700, Validation Accuracy: 92.32%
Validation Batch 545/700, Validation Accuracy: 92.32%
Validation Batch 550/700, Validation Accuracy: 92.31%
Validation Batch 555/700, Validation Accuracy: 92.30%
Validation Batch 560/700, Validation Accuracy: 92.28%
Validation Batch 565/700, Validation Accuracy: 92.27%
Validation Batch 570/700, Validation Accuracy: 92.28%
Validation Batch 575/700, Validation Accuracy: 92.27%
Validation Batch 580/700, Validation Accuracy: 92.28%
Validation Batch 585/700, Validation Accuracy: 92.30%
Validation Batch 590/700, Validation Accuracy: 92.29%
Validation Batch 595/700, Validation Accuracy: 92.29%
Validation Batch 600/700, Validation Accuracy: 92.29%
Validation Batch 605/700, Validation Accuracy: 92.29%
Validation Batch 610/700, Validation Accuracy: 92.29%
Validation Batch 615/700, Validation Accuracy: 92.27%
Validation Batch 620/700, Validation Accuracy: 92.26%
Validation Batch 625/700, Validation Accuracy: 92.26%
Validation Batch 630/700, Validation Accuracy: 92.26%
Validation Batch 635/700, Validation Accuracy: 92.25%
Validation Batch 640/700, Validation Accuracy: 92.24%
Validation Batch 645/700, Validation Accuracy: 92.26%
Validation Batch 650/700, Validation Accuracy: 92.26%
Validation Batch 655/700, Validation Accuracy: 92.28%
Validation Batch 660/700, Validation Accuracy: 92.28%
Validation Batch 665/700, Validation Accuracy: 92.27%
Validation Batch 670/700, Validation Accuracy: 92.27%
Validation Batch 675/700, Validation Accuracy: 92.28%
Validation Batch 680/700, Validation Accuracy: 92.28%
Validation Batch 685/700, Validation Accuracy: 92.28%
Validation Batch 690/700, Validation Accuracy: 92.29%
Validation Batch 695/700, Validation Accuracy: 92.29%
Validation Batch 700/700, Validation Accuracy: 92.29%
Validation Accuracy for Epoch 19: 92.29%
New Best Model Saved! Validation Accuracy: 92.29%

--- Epoch 20/50 ---
Batch 5/2797, Loss: 0.1587, Train Acc: 94.06%
Batch 10/2797, Loss: 0.1588, Train Acc: 94.14%
Batch 15/2797, Loss: 0.1607, Train Acc: 94.11%
Batch 20/2797, Loss: 0.1599, Train Acc: 93.87%
Batch 25/2797, Loss: 0.1594, Train Acc: 93.94%
Batch 30/2797, Loss: 0.1632, Train Acc: 93.93%
Batch 35/2797, Loss: 0.1611, Train Acc: 94.06%
Batch 40/2797, Loss: 0.1595, Train Acc: 93.98%
Batch 45/2797, Loss: 0.1621, Train Acc: 93.85%
Batch 50/2797, Loss: 0.1599, Train Acc: 94.05%
Batch 55/2797, Loss: 0.1607, Train Acc: 93.96%
Batch 60/2797, Loss: 0.1597, Train Acc: 94.00%
Batch 65/2797, Loss: 0.1616, Train Acc: 93.91%
Batch 70/2797, Loss: 0.1630, Train Acc: 93.82%
Batch 75/2797, Loss: 0.1612, Train Acc: 93.95%
Batch 80/2797, Loss: 0.1605, Train Acc: 93.97%
Batch 85/2797, Loss: 0.1585, Train Acc: 94.07%
Batch 90/2797, Loss: 0.1578, Train Acc: 94.13%
Batch 95/2797, Loss: 0.1566, Train Acc: 94.19%
Batch 100/2797, Loss: 0.1555, Train Acc: 94.20%
Batch 105/2797, Loss: 0.1550, Train Acc: 94.17%
Batch 110/2797, Loss: 0.1541, Train Acc: 94.21%
Batch 115/2797, Loss: 0.1526, Train Acc: 94.27%
Batch 120/2797, Loss: 0.1523, Train Acc: 94.30%
Batch 125/2797, Loss: 0.1524, Train Acc: 94.32%
Batch 130/2797, Loss: 0.1521, Train Acc: 94.31%
Batch 135/2797, Loss: 0.1522, Train Acc: 94.33%
Batch 140/2797, Loss: 0.1519, Train Acc: 94.36%
Batch 145/2797, Loss: 0.1528, Train Acc: 94.36%
Batch 150/2797, Loss: 0.1525, Train Acc: 94.40%
Batch 155/2797, Loss: 0.1521, Train Acc: 94.39%
Batch 160/2797, Loss: 0.1527, Train Acc: 94.37%
Batch 165/2797, Loss: 0.1518, Train Acc: 94.41%
Batch 170/2797, Loss: 0.1514, Train Acc: 94.44%
Batch 175/2797, Loss: 0.1511, Train Acc: 94.45%
Batch 180/2797, Loss: 0.1518, Train Acc: 94.41%
Batch 185/2797, Loss: 0.1520, Train Acc: 94.40%
Batch 190/2797, Loss: 0.1526, Train Acc: 94.40%
Batch 195/2797, Loss: 0.1532, Train Acc: 94.39%
Batch 200/2797, Loss: 0.1529, Train Acc: 94.40%
Batch 205/2797, Loss: 0.1535, Train Acc: 94.36%
Batch 210/2797, Loss: 0.1529, Train Acc: 94.38%
Batch 215/2797, Loss: 0.1520, Train Acc: 94.41%
Batch 220/2797, Loss: 0.1521, Train Acc: 94.42%
Batch 225/2797, Loss: 0.1517, Train Acc: 94.43%
Batch 230/2797, Loss: 0.1524, Train Acc: 94.41%
Batch 235/2797, Loss: 0.1521, Train Acc: 94.41%
Batch 240/2797, Loss: 0.1513, Train Acc: 94.45%
Batch 245/2797, Loss: 0.1518, Train Acc: 94.44%
Batch 250/2797, Loss: 0.1518, Train Acc: 94.42%
Batch 255/2797, Loss: 0.1519, Train Acc: 94.43%
Batch 260/2797, Loss: 0.1523, Train Acc: 94.42%
Batch 265/2797, Loss: 0.1523, Train Acc: 94.43%
Batch 270/2797, Loss: 0.1528, Train Acc: 94.40%
Batch 275/2797, Loss: 0.1529, Train Acc: 94.39%
Batch 280/2797, Loss: 0.1526, Train Acc: 94.40%
Batch 285/2797, Loss: 0.1527, Train Acc: 94.40%
Batch 290/2797, Loss: 0.1529, Train Acc: 94.37%
Batch 295/2797, Loss: 0.1530, Train Acc: 94.38%
Batch 300/2797, Loss: 0.1532, Train Acc: 94.38%
Batch 305/2797, Loss: 0.1537, Train Acc: 94.35%
Batch 310/2797, Loss: 0.1538, Train Acc: 94.34%
Batch 315/2797, Loss: 0.1542, Train Acc: 94.32%
Batch 320/2797, Loss: 0.1540, Train Acc: 94.34%
Batch 325/2797, Loss: 0.1536, Train Acc: 94.36%
Batch 330/2797, Loss: 0.1536, Train Acc: 94.36%
Batch 335/2797, Loss: 0.1537, Train Acc: 94.34%
Batch 340/2797, Loss: 0.1532, Train Acc: 94.37%
Batch 345/2797, Loss: 0.1533, Train Acc: 94.37%
Batch 350/2797, Loss: 0.1531, Train Acc: 94.37%
Batch 355/2797, Loss: 0.1528, Train Acc: 94.37%
Batch 360/2797, Loss: 0.1526, Train Acc: 94.39%
Batch 365/2797, Loss: 0.1529, Train Acc: 94.38%
Batch 370/2797, Loss: 0.1527, Train Acc: 94.37%
Batch 375/2797, Loss: 0.1525, Train Acc: 94.39%
Batch 380/2797, Loss: 0.1527, Train Acc: 94.38%
Batch 385/2797, Loss: 0.1528, Train Acc: 94.39%
Batch 390/2797, Loss: 0.1527, Train Acc: 94.39%
Batch 395/2797, Loss: 0.1523, Train Acc: 94.40%
